condition,fragments,step,loss,accuracy,fbeta,elapsed_seconds,step_duration_seconds
baseline,1,405,0.645226,0.15625,0.18797,315.343,0.6603
baseline,1,406,0.64631,0.15625,0.18797,316.019,0.6762
baseline,1,407,0.661423,0.25,0.294118,316.737,0.7179
baseline,1,408,0.6436,0.125,0.151515,317.428,0.691
baseline,1,409,0.637317,0.09375,0.114504,318.12,0.6924
baseline,1,410,0.63678,0.09375,0.114504,318.774,0.6537
baseline,1,411,0.643529,0.125,0.151515,319.451,0.6774
baseline,1,412,0.646198,0.15625,0.18797,320.213,0.7616
baseline,1,413,0.647634,0.21875,0.230769,320.896,0.6829
baseline,1,414,0.650669,0.1875,0.223881,321.609,0.7135
baseline,1,415,0.668621,0.375,0.407407,322.311,0.7019
baseline,1,416,0.645454,0.21875,0.230769,323.084,0.7734
baseline,1,417,0.652231,0.21875,0.259259,323.778,0.6936
baseline,1,418,0.648854,0.1875,0.223881,324.451,0.6731
baseline,1,419,0.660774,0.34375,0.373134,325.186,0.7354
baseline,1,420,0.655754,0.21875,0.259259,325.899,0.7125
baseline,1,421,0.635601,0.09375,0.114504,326.623,0.7245
baseline,1,422,0.642598,0.25,0.238095,327.302,0.6783
baseline,1,423,0.645628,0.15625,0.18797,327.967,0.6655
baseline,1,424,0.650906,0.1875,0.223881,328.645,0.6778
baseline,1,425,0.6504,0.1875,0.223881,329.35,0.7053
baseline,1,426,0.655569,0.21875,0.259259,330.086,0.7353
baseline,1,427,0.660123,0.25,0.294118,330.803,0.7178
baseline,1,428,0.650253,0.1875,0.223881,331.513,0.7091
baseline,1,429,0.641572,0.1875,0.193798,332.282,0.7696
baseline,1,430,0.659205,0.3125,0.338346,333.013,0.7307
baseline,1,431,0.657719,0.25,0.294118,333.725,0.7124
baseline,1,432,0.649937,0.1875,0.223881,334.433,0.708
baseline,1,433,0.646947,0.15625,0.18797,335.131,0.6974
baseline,1,434,0.649996,0.1875,0.223881,335.887,0.7564
baseline,1,435,0.639102,0.1875,0.193798,336.593,0.7058
